Division,Line,Borough,Stop Name,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entrance Type,Entry Allowed,Exit Allowed,Latitude,Longitude,entrance_georeference
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Stair,YES,YES,40.7088204,-73.958823,POINT (-73.958823 40.7088204)
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Stair,YES,YES,40.708424,-73.9581652,POINT (-73.9581652 40.708424)
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Stair,YES,YES,40.7085721,-73.95809,POINT (-73.95809 40.7085721)
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Elevator,YES,YES,40.708293,-73.958044,POINT (-73.958044 40.708293)
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Elevator,YES,YES,40.708565,-73.957893,POINT (-73.957893 40.708565)
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Stair,YES,YES,40.7082988,-73.9577153,POINT (-73.9577153 40.7082988)
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Stair,YES,YES,40.7084264,-73.9576496,POINT (-73.9576496 40.7084264)
BMT,Jamaica,M,Delancey St-Essex St,625,Delancey St-Essex St,102,M18,F M J Z,Stair,YES,YES,40.7185586,-73.9876473,POINT (-73.9876473 40.7185586)
BMT,Jamaica,M,Delancey St-Essex St,625,Delancey St-Essex St,102,M18,F M J Z,Stair,YES,YES,40.7184166,-73.987177,POINT (-73.987177 40.7184166)
BMT,Jamaica,M,Bowery,103,Bowery,103,M19,J Z,Stair,YES,YES,40.7199997,-73.9935462,POINT (-73.9935462 40.7199997)
BMT,Jamaica,M,Bowery,103,Bowery,103,M19,J Z,Stair,YES,YES,40.7203022,-73.9934097,POINT (-73.9934097 40.7203022)
BMT,Jamaica,M,Canal St,623,Canal St,104,M20,6 J Z N Q R W,Easement - Street,YES,YES,40.7178377,-74.0002765,POINT (-74.0002765 40.7178377)
BMT,Jamaica,M,Brooklyn Bridge-City Hall/Chambers St,622,Chambers St,105,M21,4 5 6 J Z,Easement - Street,YES,YES,40.712699,-74.004099,POINT (-74.004099 40.712699)
BMT,Jamaica,M,Brooklyn Bridge-City Hall/Chambers St,622,Chambers St,105,M21,4 5 6 J Z,Stair,YES,YES,40.714199,-74.003187,POINT (-74.003187 40.714199)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Stair,YES,YES,40.7095377,-74.0083397,POINT (-74.0083397 40.7095377)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Easement - Street,YES,YES,40.709378,-74.0082969,POINT (-74.0082969 40.709378)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Easement - Street,YES,YES,40.7100924,-74.0079747,POINT (-74.0079747 40.7100924)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Stair,YES,YES,40.710391,-74.0079182,POINT (-74.0079182 40.710391)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Easement - Street,YES,YES,40.7100832,-74.0076066,POINT (-74.0076066 40.7100832)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Stair,YES,YES,40.710219,-74.0075959,POINT (-74.0075959 40.710219)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Easement - Street,YES,YES,40.7101628,-74.0074258,POINT (-74.0074258 40.7101628)
BMT,Jamaica,M,Fulton St,628,Fulton St,106,M22,2 3 4 5 A C J Z,Easement - Passage,YES,YES,40.7093032,-74.0083124,POINT (-74.0083124 40.7093032)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Stair,NO,YES,40.705747,-74.011554,POINT (-74.011554 40.705747)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Stair,NO,YES,40.706001,-74.011497,POINT (-74.011497 40.706001)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Stair,NO,YES,40.706439,-74.011263,POINT (-74.011263 40.706439)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Stair,YES,YES,40.7059737,-74.0112223,POINT (-74.0112223 40.7059737)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Stair,YES,YES,40.7061973,-74.0110885,POINT (-74.0110885 40.7061973)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Stair,YES,YES,40.706887,-74.010687,POINT (-74.010687 40.706887)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Stair,YES,YES,40.706911,-74.010494,POINT (-74.010494 40.706911)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Easement - Street,YES,YES,40.7080774,-74.0097526,POINT (-74.0097526 40.7080774)
BMT,Jamaica,M,Broad St,107,Broad St,107,M23,J Z,Easement - Passage,YES,YES,40.708035,-74.010665,POINT (-74.010665 40.708035)
IRT,Jerome Av,Bx,Woodlawn,378,Woodlawn,378,401,4,Stair,YES,YES,40.886819,-73.878376,POINT (-73.878376 40.886819)
IRT,Jerome Av,Bx,Woodlawn,378,Woodlawn,378,401,4,Stair,YES,YES,40.886737,-73.87812,POINT (-73.87812 40.886737)
IRT,Jerome Av,Bx,Mosholu Pkwy,379,Mosholu Pkwy,379,402,4,Stair,YES,YES,40.8795606,-73.8851577,POINT (-73.8851577 40.8795606)
IRT,Jerome Av,Bx,Mosholu Pkwy,379,Mosholu Pkwy,379,402,4,Stair,YES,YES,40.879343,-73.88488,POINT (-73.88488 40.879343)
IRT,Jerome Av,Bx,Mosholu Pkwy,379,Mosholu Pkwy,379,402,4,Stair,YES,YES,40.8801579,-73.8844558,POINT (-73.8844558 40.8801579)
IRT,Jerome Av,Bx,Mosholu Pkwy,379,Mosholu Pkwy,379,402,4,Stair,YES,YES,40.8799885,-73.8841729,POINT (-73.8841729 40.8799885)
IRT,Jerome Av,Bx,Bedford Park Blvd-Lehman College,380,Bedford Park Blvd-Lehman College,380,405,4,Stair,YES,YES,40.8735714,-73.8898784,POINT (-73.8898784 40.8735714)
IRT,Jerome Av,Bx,Kingsbridge Rd,381,Kingsbridge Rd,381,406,4,Stair,YES,YES,40.867606,-73.897418,POINT (-73.897418 40.867606)
IRT,Jerome Av,Bx,Kingsbridge Rd,381,Kingsbridge Rd,381,406,4,Stair,YES,YES,40.86762,-73.897152,POINT (-73.897152 40.86762)
IRT,Jerome Av,Bx,Kingsbridge Rd,381,Kingsbridge Rd,381,406,4,Stair,YES,YES,40.8678017,-73.8970254,POINT (-73.8970254 40.8678017)
IRT,Jerome Av,Bx,Fordham Rd,382,Fordham Rd,382,407,4,Stair,YES,YES,40.862562,-73.901367,POINT (-73.901367 40.862562)
IRT,Jerome Av,Bx,Fordham Rd,382,Fordham Rd,382,407,4,Stair,YES,YES,40.8629108,-73.9013461,POINT (-73.9013461 40.8629108)
IRT,Jerome Av,Bx,Fordham Rd,382,Fordham Rd,382,407,4,Stair,YES,YES,40.862588,-73.9008854,POINT (-73.9008854 40.862588)
IRT,Jerome Av,Bx,Fordham Rd,382,Fordham Rd,382,407,4,Stair,YES,YES,40.8627753,-73.9007379,POINT (-73.9007379 40.8627753)
IRT,Jerome Av,Bx,Fordham Rd,382,Fordham Rd,382,407,4,Elevator,YES,YES,40.8625646,-73.9010864,POINT (-73.9010864 40.8625646)
IRT,Jerome Av,Bx,183 St,383,183 St,383,408,4,Stair,YES,YES,40.8585019,-73.9041003,POINT (-73.9041003 40.8585019)
IRT,Jerome Av,Bx,183 St,383,183 St,383,408,4,Stair,YES,YES,40.858267,-73.904099,POINT (-73.904099 40.858267)
IRT,Jerome Av,Bx,183 St,383,183 St,383,408,4,Stair,YES,YES,40.8584724,-73.9037088,POINT (-73.9037088 40.8584724)
IRT,Jerome Av,Bx,Burnside Av,384,Burnside Av,384,409,4,Stair,YES,YES,40.8533424,-73.9079574,POINT (-73.9079574 40.8533424)
IRT,Jerome Av,Bx,Burnside Av,384,Burnside Av,384,409,4,Stair,YES,YES,40.853236,-73.9077503,POINT (-73.9077503 40.853236)
IRT,Jerome Av,Bx,Burnside Av,384,Burnside Av,384,409,4,Stair,YES,YES,40.85367,-73.907654,POINT (-73.907654 40.85367)
IRT,Jerome Av,Bx,Burnside Av,384,Burnside Av,384,409,4,Stair,YES,YES,40.8535763,-73.9074459,POINT (-73.9074459 40.8535763)
IRT,Jerome Av,Bx,176 St,385,176 St,385,410,4,Stair,YES,YES,40.848385,-73.912003,POINT (-73.912003 40.848385)
IRT,Jerome Av,Bx,176 St,385,176 St,385,410,4,Stair,YES,YES,40.848501,-73.911633,POINT (-73.911633 40.848501)
IRT,Jerome Av,Bx,Mt Eden Av,386,Mt Eden Av,386,411,4,Stair,YES,YES,40.844702,-73.91465,POINT (-73.91465 40.844702)
IRT,Jerome Av,Bx,Mt Eden Av,386,Mt Eden Av,386,411,4,Stair,YES,YES,40.8444213,-73.9145649,POINT (-73.9145649 40.8444213)
IRT,Jerome Av,Bx,170 St,387,170 St,387,412,4,Stair,YES,YES,40.83996,-73.918018,POINT (-73.918018 40.83996)
IRT,Jerome Av,Bx,170 St,387,170 St,387,412,4,Stair,YES,YES,40.8398507,-73.9178287,POINT (-73.9178287 40.8398507)
IRT,Jerome Av,Bx,170 St,387,170 St,387,412,4,Elevator,YES,YES,40.840076,-73.917648,POINT (-73.917648 40.840076)
IRT,Jerome Av,Bx,170 St,387,170 St,387,412,4,Stair,YES,YES,40.8405306,-73.9173329,POINT (-73.9173329 40.8405306)
IRT,Jerome Av,Bx,170 St,387,170 St,387,412,4,Stair,YES,YES,40.8406291,-73.9175714,POINT (-73.9175714 40.8406291)
IRT,Jerome Av,Bx,167 St,388,167 St,388,413,4,Stair,YES,YES,40.8357587,-73.9215613,POINT (-73.9215613 40.8357587)
IRT,Jerome Av,Bx,167 St,388,167 St,388,413,4,Stair,YES,YES,40.8358821,-73.921488,POINT (-73.921488 40.8358821)
